county_name,year,county_per_poverty,median_household_income,county_per_bach
NEW YORK,2016,0.1711613961928796,75513,0.31795142785807956
NIAGARA,2009,0.11997409290210752,45749,0.10768384300832778
NIAGARA,2010,0.1249398326421801,45964,0.11208519770808446
NIAGARA,2011,0.12567812771945416,46599,0.11926796507723304
NIAGARA,2012,0.1304402206893996,47736,0.1263234732760526
NIAGARA,2013,0.1342491820017172,47955,0.13072794274727623
NIAGARA,2014,0.13315160508528978,49091,0.13511910316053266
NIAGARA,2015,0.1345598879290217,49449,0.1357432927235204
NIAGARA,2016,0.13367608049715524,50094,0.13699569329898623
ONEIDA,2009,0.13594397240173312,45433,0.12684028819216214
ONEIDA,2010,0.1401636443485565,46708,0.1287302075423149
ONEIDA,2011,0.14230715117097067,48382,0.13144804600869553
ONEIDA,2012,0.1475530861668715,49148,0.13617985404383692
ONEIDA,2013,0.15021391424643263,48729,0.13389207634904562
ONEIDA,2014,0.15614420545087712,48931,0.13762911707030714
ONEIDA,2015,0.16167290351861208,48246,0.1385890612897584
ONEIDA,2016,0.1579889889975865,49838,0.14344216172958374
ONONDAGA,2009,0.12818445023201702,50129,0.18100320950038667
ONONDAGA,2010,0.13178881355347377,50676,0.18258412197686646
ONONDAGA,2011,0.13340330937944295,52636,0.18336608155779108
ONONDAGA,2012,0.13731206253391937,53593,0.1862203202022467
ONONDAGA,2013,0.1424009315028617,54242,0.18598163693768363
ONONDAGA,2014,0.14653112348935332,54498,0.18646437182578363
ONONDAGA,2015,0.14838011206395846,55092,0.18983246420420496
ONONDAGA,2016,0.1458925328490546,55717,0.19272764206998122
ONTARIO,2009,0.07747229019720743,55300,0.17811722912966252
ONTARIO,2010,0.08447948221038966,56468,0.1833998780014418
ONTARIO,2011,0.09359297655739236,57069,0.17793545559147445
ONTARIO,2012,0.09308629140056439,56455,0.17864209242444776
ONTARIO,2013,0.0921697703834329,56479,0.1843211518057402
ONTARIO,2014,0.10103234686854783,57318,0.17737731081260805
ONTARIO,2015,0.10051102644882409,57416,0.17156031375874498
ONTARIO,2016,0.09957058017359526,58070,0.17396337613134077
ORANGE,2009,0.1123601771885656,69255,0.15701194567173948
ORANGE,2010,0.10676632424007498,69523,0.1591662106791557
ORANGE,2011,0.11056307535909939,70294,0.1668263268186289
ORANGE,2012,0.1129933959152811,70712,0.1668686920240389
ORANGE,2013,0.1199244721878995,70458,0.16798737549420528
ORANGE,2014,0.12267501161492905,70794,0.16833592745482845
ORANGE,2015,0.12448852375167828,70848,0.17245303057121905
ORANGE,2016,0.12317072522472239,71910,0.16592366848008597
ORLEANS,2009,0.11755545068428504,46418,0.09142311905855745
ORLEANS,2010,0.1120248326345294,48063,0.09549308344489067
ORLEANS,2011,0.11331984841087164,47788,0.09822866344605476
ORLEANS,2012,0.1208047447377602,50113,0.10093426193307287
ORLEANS,2013,0.12519044605395777,48502,0.10467365848691579
ORLEANS,2014,0.14419184787724748,48015,0.10302764073798742
ORLEANS,2015,0.1462657568003033,46359,0.0959640346133045
ORLEANS,2016,0.14519051933807048,48731,0.09735645731604647
OSWEGO,2009,0.14565582129815444,45071,0.09438710661446947
OSWEGO,2010,0.14531173294059893,45333,0.09607434049688328
OSWEGO,2011,0.1492725398098293,47036,0.09728564504196535
OSWEGO,2012,0.15661791815165294,47288,0.0957647864635523
OSWEGO,2013,0.16585794395592665,48051,0.09885251476867656
OSWEGO,2014,0.1772577450085896,47646,0.10107941596333492
OSWEGO,2015,0.17836660257626896,47860,0.10315515775788789
OSWEGO,2016,0.17508484561831503,49571,0.10416848619446281
OTSEGO,2009,0.1440099217214831,44057,0.1419165105142619
OTSEGO,2010,0.13793048367516453,45268,0.1449747108017427
OTSEGO,2011,0.15274126322539275,45334,0.14723635638032526
OTSEGO,2012,0.14750510885481197,46358,0.15041125164624905
OTSEGO,2013,0.1432072095310258,47765,0.15153698963743445
OTSEGO,2014,0.1503447829324355,47884,0.14624732307385827
OTSEGO,2015,0.1510610922001987,48588,0.14231210413445713
OTSEGO,2016,0.1493300972465931,49689,0.1521733677794778
PUTNAM,2009,0.06548213619073565,88036,0.2123719995802036
PUTNAM,2010,0.06894369380682104,89218,0.22016176470588236
PUTNAM,2011,0.053641307619754774,92711,0.21335728472952448
PUTNAM,2012,0.057722011594551766,95259,0.21441030262507632
PUTNAM,2013,0.05710102489019034,95117,0.21619430854297542
PUTNAM,2014,0.05492642707403433,96262,0.2165151886153802
PUTNAM,2015,0.0523882277259569,96148,0.2178290448315043
PUTNAM,2016,0.05091139546112989,97606,0.22565896028322033
QUEENS,2009,0.12011049384341294,54870,0.1868672971731256
QUEENS,2010,0.12858766197595548,55291,0.1921522708946393
QUEENS,2011,0.13534467611903828,56406,0.1939845788056266
QUEENS,2012,0.14207152726075253,56780,0.19403696993897404
QUEENS,2013,0.14798351356142528,57001,0.1928253652163711
QUEENS,2014,0.15124076888470675,57210,0.19282234942682872
QUEENS,2015,0.14941904856681842,57720,0.1933524089149214
QUEENS,2016,0.14465255793154233,59758,0.19401727690940873
RENSSELAER,2009,0.10741536218984411,54221,0.14680340513054904
RENSSELAER,2010,0.11373078062649326,54152,0.1494205298013245
RENSSELAER,2011,0.116149962591086,56271,0.15116867537628162
RENSSELAER,2012,0.11382506396428034,58959,0.15526917868982584
RENSSELAER,2013,0.1272208817723185,59432,0.16260237927584034
RENSSELAER,2014,0.12518170426065162,60140,0.1629271882618095
RENSSELAER,2015,0.11998749218261413,60709,0.16152818692477997
RENSSELAER,2016,0.11918054001337842,61754,0.16911838195876758
RICHMOND,2009,0.09808596595801046,71206,0.16597671726976002
RICHMOND,2010,0.1014866760168303,71084,0.17222782873634884
RICHMOND,2011,0.10863155907079741,72752,0.17383469677398777
RICHMOND,2012,0.11152839397575443,73496,0.17533978553857552
RICHMOND,2013,0.11687220744200093,72569,0.17803130386643012
RICHMOND,2014,0.1217440543601359,74043,0.18581958274878377
RICHMOND,2015,0.12375100797704035,73197,0.18365307939817616
RICHMOND,2016,0.12788280332288243,74021,0.1870722081766048
ROCKLAND,2009,0.1079455630377601,82368,0.22235871576858085
ROCKLAND,2010,0.11024647991069236,82534,0.22481569930432976
ROCKLAND,2011,0.113634743846418,84661,0.22764002258842855
ROCKLAND,2012,0.12592184249914265,86020,0.23054270729143925
ROCKLAND,2013,0.13350408958037763,84951,0.22466993625313447
ROCKLAND,2014,0.1388810318492957,85808,0.22501496707244062
ROCKLAND,2015,0.14380955944718854,84855,0.22226734884918847
ROCKLAND,2016,0.14296960718071422,86134,0.22237384660101386
SAINT LAWRENCE,2009,0.14562337117967597,41670,0.0966426650472803
SAINT LAWRENCE,2010,0.1484370806419868,42303,0.10072701354240912
SAINT LAWRENCE,2011,0.15502329866110956,43390,0.09701598277034686
SAINT LAWRENCE,2012,0.16394788506157415,43745,0.10035912963875783
SAINT LAWRENCE,2013,0.17395648411643488,43647,0.10274403455554468
SAINT LAWRENCE,2014,0.17595857697629783,44454,0.10784872804150382
SAINT LAWRENCE,2015,0.17403647856014143,44705,0.10974256546826454
SAINT LAWRENCE,2016,0.1713186704803235,46313,0.11351381322687515
SARATOGA,2009,0.06330055290982073,64705,0.19674541248828253
SARATOGA,2010,0.06239413800721703,65100,0.19831336590589652
SARATOGA,2011,0.0637470254438953,67186,0.2028498249468884
SARATOGA,2012,0.06333017940973107,67712,0.21218198261963744
SARATOGA,2013,0.0641681248276205,69826,0.21681711693587638
SARATOGA,2014,0.06660314949306105,70581,0.2216253425803214
SARATOGA,2015,0.06516842886126181,71496,0.22975609134143388
SARATOGA,2016,0.06309991152763761,74080,0.23363103703282326
SCHENECTADY,2009,0.10517431582864814,54468,0.15897900500256038
SCHENECTADY,2010,0.10835268940679071,55188,0.1568731591907682
SCHENECTADY,2011,0.11637379413388768,55587,0.1571257370212358
SCHENECTADY,2012,0.11656934212059612,56445,0.1567371485847931
SCHENECTADY,2013,0.12354267185976063,56061,0.15881576573582612
SCHENECTADY,2014,0.12476639729858614,57025,0.15957225126922786
SCHENECTADY,2015,0.12292307294762139,58114,0.16354521377222853
SCHENECTADY,2016,0.11660047143918112,59959,0.1674172759478405
SCHOHARIE,2009,0.10250526514318047,49695,0.106459778736171
SCHOHARIE,2010,0.10735307572661563,50864,0.12287291817523534
SCHOHARIE,2011,0.10123298541170726,50795,0.11497458503890963
SCHOHARIE,2012,0.1051292270901677,51896,0.10934973953655469
SCHOHARIE,2013,0.10977039871620788,53245,0.10623825293117337
SCHOHARIE,2014,0.12285012285012285,51873,0.11089668790952338
SCHOHARIE,2015,0.12333531789552847,51195,0.11178834258883019
SCHOHARIE,2016,0.1349354217324028,50607,0.11949514210478525
SCHUYLER,2009,0.09647544453852668,44575,0.09649122807017543
SCHUYLER,2010,0.08057739954756006,47404,0.09570779070663482
SCHUYLER,2011,0.08718226068144944,47804,0.09069322098812715
SCHUYLER,2012,0.09046123863144219,47869,0.08575780654988575
SCHUYLER,2013,0.11127387152777778,46976,0.08678815489749431
SCHUYLER,2014,0.12937479683606024,49225,0.0954720689394512
SCHUYLER,2015,0.14095600217273221,47680,0.1008808251148084
SCHUYLER,2016,0.14272469458987783,47229,0.11154628304586879
SENECA,2009,0.122641233433779,45571,0.11982054429254667
SENECA,2010,0.1263417259055765,46707,0.11534182222771665
SENECA,2011,0.10689401234917578,47266,0.11575378834293183
SENECA,2012,0.10833852602957005,49155,0.11411252593466499
SENECA,2013,0.1123052122514777,47618,0.11371237458193979
SENECA,2014,0.11850022706630337,48932,0.11474817254397944
SENECA,2015,0.11612223992715684,49292,0.11921672485052767
SENECA,2016,0.11279826464208242,50073,0.11402664098860536
STEUBEN,2009,0.1360862279413286,42812,0.10083408030871606
STEUBEN,2010,0.1334325999756898,43867,0.10448005232177894
STEUBEN,2011,0.14801137225937655,44967,0.10130680306300446
STEUBEN,2012,0.14823420074349442,46519,0.107259320191545
STEUBEN,2013,0.15260078220533396,47476,0.11024233106376748
STEUBEN,2014,0.1560803501925857,47733,0.10789450575183679
STEUBEN,2015,0.16102974712410684,47280,0.11100213719003425
STEUBEN,2016,0.1483224827052195,48823,0.11628179408706857
SUFFOLK,2009,0.05258870120209553,84530,0.17557777824171694
SUFFOLK,2010,0.05644808802143337,84506,0.17706165544280258
SUFFOLK,2011,0.056320801088236304,87187,0.1802173686905867
SUFFOLK,2012,0.060072636629231554,87778,0.180907753771541
SUFFOLK,2013,0.06328306601872039,87763,0.18149849225669293
SUFFOLK,2014,0.06693802141200889,88323,0.1841665946531962
SUFFOLK,2015,0.06878304059017978,88663,0.18689599890514874
SUFFOLK,2016,0.07108795631887753,90128,0.18803348750073182
SULLIVAN,2009,0.14071966703545652,48586,0.12076690832868599
SULLIVAN,2010,0.16051529790660227,48103,0.11418575063613232
SULLIVAN,2011,0.16176034453857363,48303,0.1168765554536779
SULLIVAN,2012,0.16623997931212828,48050,0.11621611530132178
SULLIVAN,2013,0.17621282443539815,48089,0.11839619995137733
SULLIVAN,2014,0.17356812152109452,49388,0.12095036444377823
SULLIVAN,2015,0.16858378095113324,50710,0.12334801762114538
SULLIVAN,2016,0.16459152180221057,52027,0.12285929837797058
TIOGA,2009,0.09885440864057815,51011,0.1314724681874157
TIOGA,2010,0.095100920645425,51948,0.1355768135747637
TIOGA,2011,0.09364946282683721,53789,0.13007230965546576
TIOGA,2012,0.08719916971821333,56488,0.13175293851717904
TIOGA,2013,0.09252003386560081,55726,0.13742077863286556
TIOGA,2014,0.09384908053265695,56167,0.13930757026291932
TIOGA,2015,0.09563935536564473,57514,0.14484465687948106
TIOGA,2016,0.10886422687264598,58115,0.15619907950030015
TOMPKINS,2009,0.17717705775329828,46506,0.21001305239604698
TOMPKINS,2010,0.1636087146662426,48655,0.2125403735430417
TOMPKINS,2011,0.176467094909584,49789,0.20797950733384798
TOMPKINS,2012,0.1738210101407896,50539,0.20838526519872594
TOMPKINS,2013,0.17790163293243375,51393,0.20649747587485834
TOMPKINS,2014,0.17869915389759544,52836,0.21198920322536557
TOMPKINS,2015,0.17858552789947524,52624,0.22198809905095832
TOMPKINS,2016,0.1739076226646718,54133,0.22213656018503
ULSTER,2009,0.11155308247479477,57485,0.15620051090650092
ULSTER,2010,0.10727533345734262,57584,0.1595181141400027
ULSTER,2011,0.11637020414865087,58808,0.15608332415550905
ULSTER,2012,0.12335356900216968,58934,0.15631149404561243
ULSTER,2013,0.12004217787199455,58590,0.15750512014758533
ULSTER,2014,0.1177601074901706,58592,0.1636396247455803
ULSTER,2015,0.1229453943739658,58918,0.16489721106874083
ULSTER,2016,0.12453948644081882,60393,0.1691818780761927
WARREN,2009,0.09896110612536696,50168,0.14858205083866505
WARREN,2010,0.09752385590576347,51619,0.15408346902048162
WARREN,2011,0.10464214575699059,53877,0.1615142224493272
WARREN,2012,0.1091476407914764,54909,0.15633096886548017
WARREN,2013,0.10764820687972676,55904,0.15591659096190819
WARREN,2014,0.11760567688260842,56601,0.15561941386523548
WARREN,2015,0.11790426511199754,56798,0.15043498507715428
WARREN,2016,0.10905701653032614,57174,0.15540184314304392
WASHINGTON,2009,0.11157699324648722,46886,0.09694137244921568
WASHINGTON,2010,0.10805541465888917,48327,0.09518921508246082
WASHINGTON,2011,0.11210308038116946,50117,0.09506361551948928
WASHINGTON,2012,0.11917664955314698,50864,0.10059622540009862
WASHINGTON,2013,0.12478454069611146,52361,0.10993407084590456
WASHINGTON,2014,0.12335081862978858,51494,0.10777705622858678
WASHINGTON,2015,0.1276555023923445,51143,0.1172973335419414
WASHINGTON,2016,0.12210037621067799,51449,0.11881055498504264
WAYNE,2009,0.10781382967116891,52351,0.1308373395490377
WAYNE,2010,0.10895423580413009,52562,0.12940104902792174
WAYNE,2011,0.10880292220275986,54380,0.12234150610222994
WAYNE,2012,0.11073430613205529,53497,0.1251440137007629
WAYNE,2013,0.11124817643525273,52601,0.13253424657534246
WAYNE,2014,0.11762679384628635,51597,0.12788419677840662
WAYNE,2015,0.12488097299168975,50798,0.12291270014669621
WAYNE,2016,0.11712780547271263,51627,0.12794628603624753
WESTCHESTER,2009,0.07698751382961909,79585,0.22034778542928735
WESTCHESTER,2010,0.0804103869892251,79619,0.22392970607534504
WESTCHESTER,2011,0.0868616223051335,80725,0.22514006805760836
WESTCHESTER,2012,0.09054362799625773,81093,0.22710489276347198
WESTCHESTER,2013,0.09219969402363108,81946,0.23114419623760973
WESTCHESTER,2014,0.09332975863513035,83422,0.2339327812183175
WESTCHESTER,2015,0.09381845624227889,83958,0.23661601376092517
WESTCHESTER,2016,0.0955398569378341,86226,0.2388221079326098
WYOMING,2009,0.0931611669057867,48943,0.08861832734178933
WYOMING,2010,0.096797035428517475,50075,0.09281316916488223
WYOMING,2011,0.09087464178291453,51312,0.09318613881199346
WYOMING,2012,0.09481611707687922,50635,0.0905368971141364
WYOMING,2013,0.09493595401092479,51100,0.0906217771715626
WYOMING,2014,0.09263657957244656,53012,0.09206709126679782
WYOMING,2015,0.10676542971577474,52564,0.097056939621751
WYOMING,2016,0.10456121632435315,53612,0.09435047361299052
YATES,2009,0.12146293729103808,44947,0.1239286394514634
YATES,2010,0.1379009900990099,46822,0.11780249493025256
YATES,2011,0.1465551258779891,48125,0.11693450206963721
YATES,2012,0.15174943789199638,48245,0.1189389791324451
YATES,2013,0.15091131933736607,49335,0.11519533385989428
YATES,2014,0.1465923025196788,50061,0.12324625060474118
YATES,2015,0.13681661174415374,49510,0.12205891247807416
YATES,2016,0.1321994742292679,50105,0.13113058293781185
